BSE/NSE/ISIN Code,Buy Date,Buy Quantity ,Buy Price 
INFY ,2-3-17,1,1006.6
HINDUNILVR ,2-3-17,3,873.1
TATASTEEL ,2-3-17,5,492.9
TECHM ,2-3-17,5,502.05
INFY ,2-3-17,2,1007.75
TCS ,2-3-17,1,2485
ITC ,2-3-17,9,259.25
ITC ,2-3-17,1,259.25
RELIANCE ,2-3-17,2,1276.65
BPCL ,2-3-17,4,631.6
HINDPETRO ,2-3-17,4,508.65
HINDPETRO ,2-3-17,1,508.65
BAJAJ-AUTO ,2-3-17,1,2823.95
DRREDDY ,2-3-17,1,2887.25
CIPLA ,2-3-17,4,590.6
